source_title,year,pub_stage,oa_status_march,DOI
Current Psychology,2020,Article in Press,Closed,10.1007/s12144-020-00680-w
Early Child Development and Care,2020,Article in Press,Closed,10.1080/03004430.2020.1764947
IEEE Transactions on Intelligent Transportation Systems,2020,Article in Press,Closed,10.1109/TITS.2020.3036326
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2020,Article in Press,Closed,10.1109/TSMC.2020.3037071
Journal of American College Health,2020,Article in Press,Closed,10.1080/07448481.2020.1752696
Journal of Creativity in Mental Health,2020,Article in Press,Closed,10.1080/15401383.2020.1842277
Journal of Disability Policy Studies,2020,Article in Press,Closed,10.1177/1044207320964396
Journal of Ethnicity in Substance Abuse,2020,Article in Press,"All Open Access, Green",10.1080/15332640.2020.1781732
Journal of Intelligent Manufacturing,2020,Article in Press,Closed,10.1007/s10845-020-01708-5
"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2020,Article in Press,Closed,10.1080/15472450.2020.1807346
Marketing Education Review,2020,Article in Press,Closed,10.1080/10528008.2020.1843360
Physiotherapy Theory and Practice,2020,Article in Press,Closed,10.1080/09593985.2020.1783729
Research in Science Education,2020,Article in Press,Closed,10.1007/s11165-020-09978-y
Strategic Organization,2020,Article in Press,Closed,10.1177/1476127020926174
Universal Access in the Information Society,2020,Article in Press,Closed,10.1007/s10209-020-00757-0
Vehicle System Dynamics,2020,Article in Press,Closed,10.1080/00423114.2020.1845755
Visual Communication,2020,Article in Press,Closed,10.1177/1470357220915605
